Name,Id,Latitude,Longtitude,Categories,City,Longtitude_equidistant,Neighborhood_label
Witton Albion Football Club,5213b2e211d2511243c290bf,53.270689630927784,-2.4878282467430672,Soccer Field,"Manchester, England-0-1",-1.4878089304488584,637
Barnton Pizza,58b0c3819dc8d02dc604fbdc,53.270039,-2.5486880000000003,Pizza Place,"Manchester, England-0-1",-1.5242284028593893,77
Cheshire Tandoori,504ce667e4b0c4f4a476e43e,53.270057678222656,-2.5151724815368652,Indian Restaurant,"Manchester, England-0-1",-1.5041839799848313,77
Witton Albion Football Club,5172973ce4b010616409518d,53.27051308092933,-2.4888324737548837,Soccer Stadium,"Manchester, England-0-1",-1.4884156400713418,637
The Red Lion Inn,5878c4a90b565678a5623c01,53.268646,-2.5441957000000004,Antique Shop,"Manchester, England-0-1",-1.5215913828473364,77
Cheshire Labels,5b8546a15d891b002c4085de,53.26860943506896,-2.533871302499392,Design Studio,"Manchester, England-0-1",-1.515418030296765,77
Carey Park,500d65d9e4b0c0877fa71b4a,53.267471671009815,-2.512350082397461,Park,"Manchester, England-0-1",-1.5025869399247949,77
The Codfather,4f564bd7e4b0387c25105317,53.26717758178711,-2.4784066677093506,Fish & Chips Shop,"Manchester, England-0-1",-1.4822962495596992,637
Paterson's,5cf18fbd471d6e002c8b36af,53.267212,-2.4789157000000004,Café,"Manchester, England-0-1",-1.4825995003839452,637
Narrowboats,5afcd64165211f00391b197e,53.267526212966175,-2.4728304147720337,Boat or Ferry,"Manchester, England-0-1",-1.4789491210677095,637
C Wilkins,4dca6011887769ff3d4c921c,53.26680958271026,-2.480780482292176,Convenience Store,"Manchester, England-0-1",-1.4837287605611138,637
Lostock Club,5189115d498e194bbd35cf54,53.26687821074586,-2.4764176623830463,Lounge,"Manchester, England-0-1",-1.4811170265652074,637
Tumble Tots Northwich,4e3c243db3add6083625d446,53.26526426756625,-2.5318551063537598,Gym,"Manchester, England-0-1",-1.514330683029567,77
Aldi,4c62ed5aeb82d13ac59506d6,53.26526326120226,-2.505774933834294,Supermarket,"Manchester, England-0-1",-1.4987318772124256,77
Next,4e8862c17ee65f7b2d97663e,53.2653047,-2.4913360000000457,Clothing Store,"Manchester, England-0-1",-1.4900943461600842,637
Currys PC World,4d4a7d469544a09327c232e7,53.26535300000001,-2.4910400000000004,Electronics Store,"Manchester, England-0-1",-1.4899156225226582,637
Argos,4d7e1c643633a0939782789d,53.26495263989091,-2.491211018559819,Warehouse Store,"Manchester, England-0-1",-1.4900318610650243,637
Bensons for Beds,4cf8c1f63875b1f78168953c,53.26526362,-2.49067983,Furniture / Home Store,"Manchester, England-0-1",-1.489703315100808,637
Sports Direct,4cf8cbb24464b60c5a4262f8,53.26484822782463,-2.491240053496228,Sporting Goods Shop,"Manchester, England-0-1",-1.490052865606065,637
HiQ,50a0b443e4b0787349e11e66,53.2651,-2.4879,Gift Shop,"Manchester, England-0-1",-1.4880463616585933,637
Booker,50d340ace4b08f489739599f,53.2653634682207,-2.4853147141722456,Warehouse Store,"Manchester, England-0-1",-1.4864909086275035,637
Pagoda Restaurant,4ed6788499112d6efeb2eed2,53.2643448,-2.5425322999999995,Chinese Restaurant,"Manchester, England-0-1",-1.5207495302116014,77
Weavervale Garden Centre,4d835fc850913704340c675b,53.263938292059706,-2.534964325368536,Garden Center,"Manchester, England-0-1",-1.5162373565938772,77
Northwich retail park,4badf3dcf964a5203e753be3,53.26474508485932,-2.491304050375545,Shopping Plaza,"Manchester, England-0-1",-1.4900947373845923,637
TeamFoy,57683137498e4c550009ddf5,53.26318000000001,-2.5370154,Recreation Center,"Manchester, England-0-1",-1.5174910733196691,77
Sunnyside Gin Palace,56be6a1fcd106b9d66a54f76,53.26346292149628,-2.5288047879096425,Lounge,"Manchester, England-0-1",-1.5125699685920118,77
Pineland Northwich,56acfc5e498e9e5b3c336f2f,53.26339452648699,-2.528746597061456,Furniture / Home Store,"Manchester, England-0-1",-1.5125375816291968,77
BP,51e3c06c498eb9114f5887b0,53.2630808,-2.5262036,Gas Station,"Manchester, England-0-1",-1.511027605472601,77
Asda,583c166d6e60752e1d6dcce2,53.26309248148938,-2.5118428892026907,Supermarket,"Manchester, England-0-1",-1.5024374557259517,77
Superdrug,4e2ee654b0fbdc2b64fb890f,53.262913525090255,-2.5110077536973026,Pharmacy,"Manchester, England-0-1",-1.5019442116880652,77
Sainsbury's,4ba61897f964a5203d3339e3,53.26315649079432,-2.5088946392886755,Supermarket,"Manchester, England-0-1",-1.5006717389267925,77
The Hangout,5d19cd8718222300267fa2df,53.263588,-2.5065958,Gym / Fitness Center,"Manchester, England-0-1",-1.49928158126332,77
PureGym,5695ae42498e13ec051a152e,53.263361300399936,-2.502370745167842,Gym / Fitness Center,"Manchester, England-0-1",-1.4967623645613608,77
Clocktower,4bdd88cab0f5c9280a864ce3,53.26344179047585,-2.4997758865356445,Pub,"Manchester, England-0-1",-1.4952074674254823,77
National Tyres and Autocare,4c5e793b6147be9a860b9509,53.26366588628128,-2.5003588251970355,Auto Garage,"Manchester, England-0-1",-1.4955483071910227,77
KFC,4d92380614228cfa07b5477b,53.26363986049546,-2.4983961080506805,Fast Food Restaurant,"Manchester, England-0-1",-1.4943752498414307,637
McDonald's,59e0e703bcbf7a4735abdce7,53.2629791206896,-2.4932651755341464,Fast Food Restaurant,"Manchester, England-0-1",-1.4913293075720833,637
Londis,4fd89782e4b067696aad3145,53.262521457874705,-2.5277591768245067,Convenience Store,"Manchester, England-0-1",-1.5119778365289813,77
Sir John Brunner,5377b528498e4403b466426d,53.26180271955582,-2.521814428564021,Beer Garden,"Manchester, England-0-1",-1.5084473397492448,77
The Lodge,4bf820f94a67c9284ad224cf,53.26162113667569,-2.5218296944556364,Pub,"Manchester, England-0-1",-1.5084628759706653,77
Odeon,585c3f7753f5bb1926dc9318,53.26240358677454,-2.5145834961276705,Movie Theater,"Manchester, England-0-1",-1.5041009556131402,77
Wildwood Kitchen,586141d5b12d9f3e941384db,53.262404,-2.513587,Italian Restaurant,"Manchester, England-0-1",-1.5035048858021882,77
