0,1,2,3,4
Cuu-Long,4bc4a3a5abf495217052c593,65.02778841478687,25.461191861654232,Asian Restaurant
Kotipizza,4c41f0fbff711b8d1cb61205,65.02771371961869,25.46135872532965,Pizza Place
Tuiran ostoskeskus,5090c9b9e4b0504e3477fc3a,65.02774160661664,25.461489374053556,Shopping Mall
Grilli Swing,4c0d104ec700c9b66dcba1dd,65.02746925460367,25.46163434738457,Fast Food Restaurant
Ose's Alfa,4fce3915e4b02848caaf61c8,65.027679,25.470533,Moving Target
Konttori,5bf993cf3ba767002c9a049b,65.027438,25.492526,Music Venue
Hovisuon skeittipuisto,4db160c3a86e63d211694aa3,65.02790687888529,25.5230119818701,Skate Park
Hovisuon Stadion,5002dae8e4b04575fe4ca667,65.02773207051821,25.52325349117552,Soccer Field
Hovinsuon urheilupuisto,4c78c1c393ef236ab56fad0f,65.0274899944203,25.52262739202618,Athletics & Sports
Vokaliisi,4fdb2f00be7783524eae485d,65.02805431221415,25.525671243667603,Sculpture Garden
Pomppu,553cb76c498e96e746ffec2d,65.02802276611328,25.529022216796875,Sports Club
Hesburger,4c7a6fc9794e224b5f766828,65.02755148708877,25.535474012521952,Fast Food Restaurant
Oulu,56c89701498eeed0c3213629,65.02725419247783,25.416133776132057,Castle
Nallisport,4bae1773f964a52027833be3,65.02677580576342,25.422558345419866,Recreation Center
Suomen Tivoli,51b877ce498e17f53ed7e89a,65.02697175399335,25.43813467025757,Theme Park
Tukkisaaret,4dce9d20c65bdac713652cf3,65.02666707689757,25.45058002888923,Beach
Tervaporvarin liikuntapuisto,4e04bd0cd22d4cebf37422ad,65.02621712854742,25.45465165764998,Other Great Outdoors
Tervaporvarinpuisto,4f9820c3e4b0cb04ce5a929b,65.02612923059445,25.45480728149414,Park
Ravintola Queta,4e29ed666284b96d7b79576a,65.02759737285788,25.46063833745667,Karaoke Bar
Valtatie E,4f8da5b3e4b0375890dc6d9b,65.02699272382027,25.465072523299416,Bus Station
Lidl,4b6c5496f964a52043312ce3,65.02676950114036,25.46880043195147,Grocery Store
Hesburger,51ab5e69498e7cd69a23cf9a,65.02609305991285,25.472720338688408,Fast Food Restaurant
Harripuiston koira-aitaus,4ebd3be78b81967ad1d45d88,65.02639416177139,25.49140691407956,Dog Run
Hovisuo Square Garden,50044da8e4b0d5040fb28bae,65.02689616981696,25.521904504902604,Soccer Field
Vocatum,4ebeee2277c885a64e0e8ba4,65.02689799798617,25.537228746390543,Gym
Pohto Hotel,4c346fe77cc0c9b6b942f39a,65.02528560155491,25.417452943353492,Hotel
