Name,Id,Latitude,Longtitude,Categories,City
Tallipihan kahvila,4de22ccafa7651589ef81e9a,61.5031189943859,23.755075748152546,Café,"Tampere, Finland"
Finlaysonin Palatsi,4c54119606901b8d9ccf2c4b,61.50292584668994,23.75644230707116,Restaurant,"Tampere, Finland"
Birckala 1017 -näyttely,593a8b7bf193c024093f0dda,61.502932,23.760544,Exhibit,"Tampere, Finland"
Museokeskus Vapriikki,4b49e64ef964a5209c7526e3,61.50290257175662,23.760592537184248,History Museum,"Tampere, Finland"
Kahvila-ravintola Valssi,4f50a447e4b00ad2aa7b9cd1,61.50282045828413,23.760523829497696,Café,"Tampere, Finland"
Tampereen Komediateatteri,4b98e8ccf964a520b55535e3,61.50292545056865,23.76526049592928,Theater,"Tampere, Finland"
Fressi Syke,4bcc6f2068f976b02f8f6283,61.503182865123605,23.774729638097845,Gym,"Tampere, Finland"
Kotipizza,4bb8c075b35776b0682dc901,61.50316091583075,23.778134662854022,Pizza Place,"Tampere, Finland"
Alko,4c010674de3376b04e24f9a4,61.50310078689376,23.77862472097123,Liquor Store,"Tampere, Finland"
K-market Kattimatti,4be184b5c1732d7f40395c9a,61.50311822989378,23.78060572549741,Grocery Store,"Tampere, Finland"
Amigo Pizzeria Tammela,4d8f27275091a1cdba8e9f01,61.50282283331798,23.786701260120683,Pizza Place,"Tampere, Finland"
Tahmelan Lähde,51a227a2498e0423192896a4,61.50155796344642,23.70938922671367,Lake,"Tampere, Finland"
Cafe Pispala,537775c3498e9e46d7f2df5d,61.50148404872957,23.715011685302162,Café,"Tampere, Finland"
Rajaportin Sauna,4b57285ff964a520ab2828e3,61.50224332522846,23.719790507682642,Sauna / Steam Room,"Tampere, Finland"
Bussipysäkki 1003,4ee59953d3e34ebcf0effd47,61.50193514050137,23.725476177815448,Bus Stop,"Tampere, Finland"
Tulitikkutehdas D.I.Y.,4fd36ae3e4b0e8d49ce05617,61.50221428986225,23.724490099000192,Skate Park,"Tampere, Finland"
Lasten eläintarha,4c63c88dedd320a14b30b029,61.50291462803078,23.73935415731733,Exhibit,"Tampere, Finland"
Bussipysäkki 0057,4fce1c9be4b0aabd967e4c8f,61.502627608353215,23.7442977501196,Bus Stop,"Tampere, Finland"
M/s Intti,502a3592e4b0b13c8248ecab,61.50405945801374,23.746554862804466,Boat or Ferry,"Tampere, Finland"
Glohair,4bd1b22a9854d13af8f8f94d,61.501413018161,23.75046834997067,Salon / Barbershop,"Tampere, Finland"
Lidl,59428a791fa7633bd7536332,61.502221046378146,23.758961298294512,Grocery Store,"Tampere, Finland"
Työväenmuseo Werstas,4ba5f7f1f964a520df2b39e3,61.50176506655332,23.7594916377856,History Museum,"Tampere, Finland"
Mediamuseo Rupriikki,4bc9b85368f976b0dab35d83,61.50173427377582,23.75976354909153,Museum,"Tampere, Finland"
Ravintola Tampella,582330dd26ca404b4123a6d2,61.501848513647396,23.76273067256857,Modern European Restaurant,"Tampere, Finland"
Ritvan Kala-kahvila,4c03785d9a7920a100f5cf79,61.50226191855813,23.76446505673251,Seafood Restaurant,"Tampere, Finland"
Muusa,5839b20800841a1ae3822ca7,61.50146356281642,23.76772827462491,Comfort Food Restaurant,"Tampere, Finland"
Kreikkalainen Ravintola Antika,4bc8815e14d79521142669e9,61.50168240915529,23.77598140143881,Greek Restaurant,"Tampere, Finland"
Nile Kebab,5035de03e4b02f81d9cb9241,61.502389633486274,23.778803625876073,Kebab Restaurant,"Tampere, Finland"
Kalakokit,4bbeea0dba9776b0405afec8,61.502180602625245,23.778523819167233,Seafood Restaurant,"Tampere, Finland"
Shan Food Market,4cd93075a99d37045d6c09ce,61.50241685725808,23.779224400563088,Grocery Store,"Tampere, Finland"
Kahvikeidas,4ba34b7cf964a520cb3338e3,61.50180236111257,23.778716444446502,Café,"Tampere, Finland"
Tammelantori,4b98877cf964a520f14535e3,61.501729146874474,23.778962331014927,Farmers Market,"Tampere, Finland"
Ullan Grilli,4bc2e0ac74a9a59302cfd3f6,61.50151141066014,23.778394305071306,Food Truck,"Tampere, Finland"
Ruokapuoti Lempi,4d9f16f19b91a1cda9cd63c0,61.502479843175536,23.78099891258811,Organic Grocery,"Tampere, Finland"
Studio Karling,4b471e16f964a520942b26e3,61.50205552373127,23.781000242858443,Photography Studio,"Tampere, Finland"
Tapolan Mustamakkarabaari,4cca9f4f7965b60c9e90868a,61.501481075502674,23.77859488611389,Food Truck,"Tampere, Finland"
Emil Aaltosen puisto,4b95e19af964a52098b634e3,61.501461780804526,23.780349779973456,Park,"Tampere, Finland"
Kalevan Kotikulma,4ede01368231efe3939b80af,61.501920984133214,23.786916797888214,Convenience Store,"Tampere, Finland"
Rxtx-tuote,4e82e5758b817f24103f41db,61.501997900860225,23.78692435907424,Electronics Store,"Tampere, Finland"
Kotipizza,4d29b4cff7a9224bc6f100a0,61.50163000000001,23.79795,Pizza Place,"Tampere, Finland"
ABC Kaleva,4bb227bdf964a5203ebe3ce3,61.50240999999138,23.801794052124023,Gas Station,"Tampere, Finland"
Sale,4f17c6c4e4b0a0515bb44df8,61.50240518991415,23.80210636864728,Grocery Store,"Tampere, Finland"
Tahmelan leikkipuisto,4f1a8d8ee4b0918978ccae44,61.50061415769908,23.71010291788288,Playground,"Tampere, Finland"
Lorisevanpuisto,51934a5f498eabb16e0f2e6b,61.50057147642698,23.71007169885752,Playground,"Tampere, Finland"
Vaaraloiden kuntosali,4fc66d96e4b0b0e32cc41438,61.501049,23.712531,Gym,"Tampere, Finland"
Pispalan portaat,4c03b7b9f423a593d78ed016,61.501072879304246,23.716737595711237,Scenic Lookout,"Tampere, Finland"
Bussipysäkki 1505,4f19609ae4b026aa4db24fc6,61.50114561549699,23.72265175268557,Bus Stop,"Tampere, Finland"
