0,1,2,3,4
scott sports,59ad218cd8fe7a0d13c3e7cc,59.873458,17.599975,Sporting Goods Shop
Sibylla,4ba4b294f964a5202cad38e3,59.87175148805735,17.601901301271408,Fast Food Restaurant
Fyrisfjädern,4bd2debe9854d13a1b69fc4d,59.87239497994223,17.616902385752947,Stadium
Kapellgärdsparken,4bdb17793904a59334b6489e,59.87202359504941,17.64327633247692,Park
Kapellgärdets Skatepark,519761ce498e699491e4ecf8,59.87164882284721,17.643706162039415,Skate Park
Lekplats,51d92ebe498e73d495d2819c,59.872255,17.687173,Playground
4H Årsta,4ca70badb7106dcb5de763a5,59.87270179762877,17.696635935661636,Farm
Skebogatan,5b560599be7078002c2f7da3,59.8714,17.60113,Bus Stop
Fyrishov Stugby & Camping,502e9ad4e4b01a9d9e6816f2,59.87097770936331,17.61881870185074,Campground
Fyrishov Gym Och Relax,4fed3a57e4b0f34ae620830b,59.87064304325155,17.622581310824074,Gym
Fyrishov Äventyrsbad,4d982cbfdaec224bd431433e,59.87045553171338,17.622543175887174,Gym Pool
Fyrishov,4ba3b2dff964a520bd5538e3,59.87042160278015,17.62335777282715,Stadium
Fyrishov Bowling,4f5a28f0e4b0a5edd0773aaa,59.870793575345154,17.624152856534444,Bowling Alley
Lidl,4b7403b0f964a520ddc32de3,59.870829350203486,17.65588636897278,Supermarket
Lovely India,56731db5498ec5316df68b0d,59.870474818468544,17.676209908282456,Indian Restaurant
Fyrishov Innebandy,4f0852e9e4b000dd75463ef6,59.87029545545967,17.624001775875644,Gym
Java,4d8f731f62f1dcb329958212,59.870216480640664,17.627302203728554,Asian Restaurant
Konditori Trianon,4daaba4c6e81162ae7dd0d15,59.87028492914602,17.627437626947547,Bakery
Uppsala Judoklubb,55dde265498efdd44573cc95,59.87011,17.624707,Sports Club
Miku Hatsune Appreciation Station Mk2,57246091cd1051829c601dbd,59.87008,17.641763,Speakeasy
Bureusgatan (B),50c1d11be4b0d2e170ad6a09,59.870269,17.647111,Bus Station
PizzaBakeren,5575e559498e84219922004d,59.86977532014205,17.646565217079374,Pizza Place
Källparken,4c8b95f71eafb1f70ed88435,59.86956531036593,17.674373388290405,Park
Natsu Sushi,5ba228602db4a9003909dbcc,59.869835,17.679622,Sushi Restaurant
Nelins,4d61187f338bb60cf14330bd,59.868755881205466,17.60573869874063,Grocery Store
Sundströms Kyl AB,59d5acc70a464d72f26aa7c9,59.8682877,17.6048702,Construction & Landscaping
Gimogatan,5b56106b1cf2e1002c9fd310,59.868755,17.607885,Bus Stop
Pizza Napoli,50abdcb2e4b09e652446c3cd,59.86862,17.614813,Pizza Place
Friskis & Svettis,5669e27c498ed743745593a8,59.86986958874605,17.623710718386338,Gym / Fitness Center
Indian Mahal,4fb76c46e4b02db30795206b,59.868678433180506,17.62849984187948,Indian Restaurant
Latitude-59,51bf2451498e1ea237f188bc,59.86858477552555,17.629184795025726,Restaurant
Norrgavel,4eb1839702d5c1a5e446deab,59.86856394384299,17.64326599911255,Furniture / Home Store
Max Hamburgare,4b575616f964a520293228e3,59.86859320325943,17.657588124275208,Restaurant
McDonald's,4bdc1f292a3a0f47128db1b6,59.86827113142088,17.661045761740727,Fast Food Restaurant
Brantingstorg,4f8088ade4b05d42de396a85,59.86878748824989,17.670365952762833,Plaza
ICA Nära Brantingstorg,4bffbe43369476b03c348e1f,59.868324784332856,17.671215183982866,Grocery Store
Bageri Brantingstorg,4d24465afdfb236a14667767,59.86822878738482,17.669574254536535,Bakery
Årsta Travcafé,5676b5fc498e13b4cfa16d1e,59.86884398064594,17.671775540292842,Betting Shop
OKQ8,4fb5e3f1e4b05cfe9eba325c,59.86813,17.62947298,Auto Garage
Pizzahuset Durango,4d48432211618cfa1aadd223,59.867313471438166,17.633620464982354,Pizza Place
Kvarntorget,4ee5c70f991194490242b5c3,59.86774430773639,17.64832340440565,Plaza
American Take Away,4e89feb36da18893c860bb6c,59.86809788484115,17.662320218354044,Pizza Place
Årstaparken,4dde1d2dd4c01aeee8f549d4,59.867572594860526,17.690091133117676,Park
Hinode Sushi,59c692dda2a6ce0180ddb557,59.866303,17.607981,Sushi Restaurant
Nordic Wellness,595a341eccad6b4c0770ddff,59.86620285,17.6083666317733,Gym / Fitness Center
Praiwans Thaikök,527e1ea311d2710a0caba31f,59.86612721327989,17.621559407741795,Thai Restaurant
Timmermannens Brygghus,5554b999498e1f16ca7deeca,59.86658157836938,17.633668184280396,Brewery
Mac Jack,4e6b56b8ae60950955de86d3,59.86666836114971,17.640320732086863,Fast Food Restaurant
Uppsala Orienthus,4c6c1ca0e6b7b1f7ec17a68e,59.86686824436349,17.649540945643693,Grocery Store
Uppsala Vandrarhem & Hotell Kvarntorget,4bd6eac81728986ee02db735,59.86675281286501,17.64935516455013,Hostel
På Hörnet,5048c37ee4b06b90914c5715,59.866342,17.64926,Restaurant
O'yes Kök & Bar,4eb55a1993ad2365701df99b,59.866546630859375,17.666297912597656,Restaurant
Raw Like Sushi,50263bf0e4b00bbc79d1d65e,59.866584,17.666322,Asian Restaurant
Leijon Stenungsbageri & Konditori,59a2927559fe5c7ad105df68,59.866085,17.668462,Bakery
Restaurang Aspentos,4c126813b7b9c92850b4a737,59.867146,17.671359,Greek Restaurant
Bönor & Blad,4ed67b67722eff15c06fb817,59.86669469629886,17.6757007501206,Gourmet Shop
ICA Nära Stabby,53401a4a498e6b8b50e0f8e7,59.86592406853587,17.608316728301332,Grocery Store
Restuarang Apadana,4c56e85212f0d13a72d805ad,59.86524224281311,17.652202248573303,Pizza Place
Willys,4b534425f964a520ef9427e3,59.86596659294454,17.661398208693278,Grocery Store
Gunnars Hund Och Katt,4ecfaf4302d5feaa1b5e60b7,59.865287265695656,17.66122930990421,Pet Store
Björkgatan (B),4d2a1101ebacb1f7574c0050,59.86533234403809,17.662858041862307,Bus Stop
Årsta Centrum (B),4e65b695b61cd78089f48d00,59.865903104723564,17.679392261089934,Bus Stop
ICA Supermarket Årstahallen,4c23815efbe5c9b602869b21,59.86568994958594,17.684453863684194,Grocery Store
Plommonberga,55b000b7498ef6fadf959841,59.86547010433857,17.69075773196164,Dance Studio
Restaurang Arom,4d89c9c77139b1f7a4e2bbd4,59.86467486575365,17.609925270080563,Pizza Place
Prästgårdslunden,4fb4e781e4b096440e9cf8d8,59.8639336365425,17.607499791068197,Park
Sushi18,4f731502e4b0a4b28a1c01a6,59.864549,17.643835,Sushi Restaurant
SATS Uppsala,4c73c45e0e23b1f79d2c21dc,59.86424395510444,17.644160985946655,Gym / Fitness Center
Thai Market,4d02690037caa1cd5325e447,59.864573,17.64383,Thai Restaurant
Friskis & Svettis,4b6865b9f964a5200c762be3,59.864072905624134,17.645088907741737,Gym / Fitness Center
Österängen IP,4d21d30cd7b0b1f7933a209f,59.864911864231104,17.659835815429688,Stadium
Byggmästarparken,4c3070a966e40f471d87c38b,59.86490109160965,17.675907611846924,Park
Coop Konsum Ringgatan,4cd85aac145fa1cd1f0406bd,59.86335362774565,17.615049575282956,Grocery Store
Glada Grisen,517bd2dbe4b04f1b634d83e5,59.862904,17.613707,Restaurant
Ayakos Sushi,4d24b68df39ca143fb5878b8,59.8636844916386,17.62206121214679,Sushi Restaurant
Naan & Chili,562fcd3a498e753843078eca,59.863354,17.649727,Indian Restaurant
Ahaanthai,4decf4b3c65be8091de486df,59.86340489,17.65648837,Thai Restaurant
Ragusa,4d988ed62bd6f04d4f7b6a50,59.863171,17.676516,Greek Restaurant
Vindhemsparken,4dbd1295f7b1ab37dd6ea347,59.86207861638114,17.620391365466432,Park
Glassbaren,4dac4f264df01c19b1b137c5,59.86224335180588,17.631953351673726,Ice Cream Shop
Linnéträdgården,4bee7d69d355a59387ed0a60,59.86196045356195,17.633393944120282,Garden
Indian Kitchen,4b6f09ecf964a520b4d82ce3,59.86195278747022,17.637651695777016,Indian Restaurant
Bierhuis,583e87c9d0bb3e7550e4346f,59.86175249520374,17.63746398655192,Beer Bar
Phil's Burger,57175118498eb150210deef4,59.862622603768436,17.644692063331604,Burger Joint
Amazing Thai,4b52f8daf964a520a88b27e3,59.86257412360795,17.64503002166748,Thai Restaurant
ICA Supermarket Torgkassen,4b647392f964a52036b42ae3,59.86246951158507,17.64614864367557,Grocery Store
Vaksala torg (B),4c5428e6479fc928d04ba892,59.862662829067155,17.646760406026427,Bus Station
Restaurang Athen,4deb88cdc65be8091dc1e77a,59.862019290073036,17.65526533126831,Greek Restaurant
