0,1,2,3
Kehys Helmi,61.500933,23.767045,Arts & Crafts Store
pipsan kotiteatteri,61.501225,23.76676,Residential Building (Apartment / Condo)
Koiviston Kattohuoneisto,61.500922,23.766264,Assisted Living
HyvänOlonKlubi,61.500818542776855,23.767257291029743,Gym / Fitness Center
Ojakatu 1,61.500771226719976,23.767268749785757,Residential Building (Apartment / Condo)
Kahvila Runo,61.50101626834617,23.767637693917695,Café
Kyttälän Kirppis,61.50120603307594,23.76759348603112,Flea Market
Sähköliitto,61.50074980721843,23.76810723745396,Conference Room
Muotitalo Tyynelä,61.50099039622475,23.767700637771295,Bridal Shop
Voima.,61.50115203857422,23.76862144470215,Office
Tammerkosken kiropraktiikka,61.5011,23.768,
Estradi,61.501294046363704,23.76843810081482,Salon / Barbershop
Iloiset Silmät,61.501238,23.768056,Shop & Service
Aleksanterinkatu 17,61.500977626670654,23.767969540454644,Residential Building (Apartment / Condo)
Satakunnankatu 7,61.501096167497934,23.768709645388455,Residential Building (Apartment / Condo)
Vintage Garden,61.50073,23.767508,Thrift / Vintage Store
Aleksanterinkatu 15,61.501167,23.767968,Building
Tammerlinna,61.50120190161431,23.7674617767334,Building
salminen 69,61.50075023547783,23.769238531733677,Art Gallery
Herbalife Hyvän olon klubi,61.501300204280604,23.767455848189858,Smoothie Shop
Asunto Oy Tampereen Josefiina,61.500746,23.767473,
Klassillinen lukio,61.50041753176736,23.77006076588235,High School
Ruokala,61.501348933012316,23.769988016063678,High School
Hoitola Auringonsäde,61.501303,23.77098,Spa
juhlasali,61.501219751003845,23.770176857871736,High School
Klassillisen koulun pysäköintialue,61.50088045425109,23.769900496334543,Parking
Kuunkukka,61.501253,23.77055,Arts & Crafts Store
Clasun torni,61.50140017642505,23.770338440981853,High School
Cosvéra,61.500756,23.771035,Health & Beauty Service
hennan ligier,61.50093078613281,23.770030975341797,Moving Target
B1,61.500731573745774,23.771095715835365,High School
Rautatienkatu,61.500637334211405,23.771202459717454,Road
Piketa Oy,61.5006627,23.7712938,Other Repair Shop
Rantatunneli,61.507224,23.775177,Tunnel
Majaniemi Penthouse,61.50076831409478,23.7725425625022,Residential Building (Apartment / Condo)
Postikatu 1,61.500829264173625,23.77230706226242,Residential Building (Apartment / Condo)
Tädin Paratiisi,61.50089645385742,23.772199630737305,Residential Building (Apartment / Condo)
Sannin Parkkis,61.50123441330442,23.772567541580543,Parking
Mäksän mesta,61.501126,23.771502,Residential Building (Apartment / Condo)
SPR Hämeen piiritoimisto,61.50071278745671,23.77132863389529,Coworking Space
Majatalo SutiHärkä,61.501102,23.77165,Residential Building (Apartment / Condo)
B2,61.50081259667376,23.772265963897652,High School
Ulun ja Eemelin luola,61.501012,23.771462,Residential Building (Apartment / Condo)
Gemilo,61.50077188917491,23.771495819091797,Tech Startup
Juhannuslaituri,61.50101189217235,23.774338989037666,
Lompanlinna,61.500741420280285,23.77583598680563,Residential Building (Apartment / Condo)
Hackerspace 5w,61.50120723572389,23.77571815799348,Non-Profit
Kaljapalatsi,61.501045796408576,23.775486079657536,Residential Building (Apartment / Condo)
Ruokaravintola Vanha Ike,61.50121720320358,23.77810466634169,Steakhouse
Kebab Pizzeria Mardin,61.50117644035403,23.778159039079053,Falafel Restaurant
Kiinalainenravintola Xinglong,61.501129,23.778137,Chinese Restaurant
Ullan Grilli,61.50151141066014,23.778394305071306,Food Truck
Zhou's place,61.50104203554822,23.7780269847027,Chinese Restaurant
Kiinalainen Ravintola Xing Long,61.50099925474667,23.777983018650275,Chinese Restaurant
Lankaputiikki Silmukka,61.501287,23.778127,Hobby Shop
Brander Tammelantori,61.501132218669206,23.778086769442048,Café
Pinninkatu 32,61.501047076740996,23.777249175159554,Residential Building (Apartment / Condo)
Parturi Kampaamo Satte,61.501108,23.778321,Residential Building (Apartment / Condo)
Pizza Marfin,61.501106,23.778306,Pizza Place
Katriinan Paja,61.500733,23.777654,Residential Building (Apartment / Condo)
Sallan Bubblebath,61.500787,23.777784,Spa
Kalleelakataan,61.500828,23.777115,Arcade
henan ja ykn himsu,61.5012824960439,23.77713511221363,Residential Building (Apartment / Condo)
Pepin ja Heniksen vakipa,61.5011,23.7774,Residential Building (Apartment / Condo)
Kerhohuone,61.501245,23.776837,Residential Building (Apartment / Condo)
Vakipa,61.5011,23.777,Residential Building (Apartment / Condo)
K-Market Mestari,61.50067520723624,23.779430383081017,Grocery Store
Tammelantorin Burger,61.501228207749264,23.779285483166944,Burger Joint
Ravintola Borneo,61.499069,23.781523,Malay Restaurant
Tammelan Voima,61.500916,23.779855,Restaurant
Món Việt,61.500876,23.779073,Vietnamese Restaurant
Taksitolppa 7,61.50127427107689,23.77974979265503,Taxi Stand
Otto-automaatti,61.50083331988732,23.779456615447998,ATM
Lumpeenkukka,61.50079964081913,23.77916467348668,Spa
Muikkupiste,61.5011538094256,23.77949418355481,Fish & Chips Shop
Tunnekeskus Lumpeenkukka,61.500844556668206,23.779711172366916,
Tammela skyscraper,61.500763142077346,23.778990046820418,Residential Building (Apartment / Condo)
Ekin Menopeli,61.500959,23.779872,Residential Building (Apartment / Condo)
Neste,61.50094272041107,23.779539152021943,Gas Station
Ainos place,61.50087224712665,23.780257125313774,Residential Building (Apartment / Condo)
Kauppahuone Alicia,61.500977,23.778792,Gift Shop
Zen Center Tampere,61.500808758572184,23.780525774874036,Temple
Ainos bed,61.50072107517427,23.780456393877436,Residential Building (Apartment / Condo)
Pub Pikilinna,61.50113620144443,23.780823906513223,Pub
Kasvisravintola Gopal,61.500955621160074,23.781181579022686,Vegetarian / Vegan Restaurant
Tammelan hammashoitola,61.50103734550843,23.781654946173877,Dentist's Office
Pikilinnan pihakirppis,61.50104592835164,23.78130940562931,Flea Market
Pikilinna,61.501216868896485,23.781797305351756,Residential Building (Apartment / Condo)
Pikilinnan terassi,61.501244424985856,23.78102845768813,Irish Pub
Jäsenkorjaaja Matti Järvelin,61.501269,23.781255,Alternative Healer
Veturipuisto,61.501,23.7824,Playground
Kahvila Maukas,61.501177681677945,23.781187810745813,Café
Arela,61.50120727135124,23.78228590117145,Boutique
Nallen Poikamiesboksi,61.50091,23.782384,Residential Building (Apartment / Condo)
Labwise,61.50103114698849,23.782565099615756,Office
tammelan mökki,61.5012,23.7842,Residential Building (Apartment / Condo)
Tammelan koulun leikkipuisto,61.5012,23.7846,Playground
Sara Hilden -akatemia,61.50106980860307,23.786359989352878,College Arts Building
Solarium Studio,61.50104583224935,23.787333010494862,Tanning Salon
Konehuone,61.50118,23.787193,Salon / Barbershop
Pepin Mini,61.50114153348643,23.787357348722196,Residential Building (Apartment / Condo)
Sauna,61.501106,23.787794,Sauna / Steam Room
Lastentarvikekirpputori Nukkekoti,61.50081081067549,23.787965333207232,Flea Market
Ilmarinkatu,61.501098146226404,23.788598979604206,Road
Sanna,61.50129894861052,23.789622923781685,
Ilvestie,61.5012084174699,23.79281345648421,Road
Laineiden länsisiipi,61.50077771213936,23.792208205824657,
Sammon koulun ruokala,61.50071604571317,23.796805191655167,School
Pörriäiset,61.50100156927295,23.797580514367606,Café
Active Bike,61.501007503105065,23.7969672754497,Bike Shop
Huoneistomedia,61.500941,23.796749,Office
Parturi-kampaamo Tukka-nuotta,61.50124341092548,23.797436130202744,Salon / Barbershop
Sammon koulun kuntosali,61.50072069682189,23.79716992378235,School
Teiskontie,61.50203349118025,23.802029342013675,Road
Teiskontie 20,61.50117085573761,23.799212189632005,Residential Building (Apartment / Condo)
Sakke ja Lidija - Kalevan Kennelli,61.501145466626696,23.799132331765865,Dog Run
Ira's Crazydrinking-mafiahouse,61.50091578306176,23.799273033151692,Residential Building (Apartment / Condo)
Pirkanmaan aluetoimisto,61.5010186952516,23.80104512281261,Military Base
tammerkki,61.50124849916087,23.799835386240066,Building
Remion,61.50111313200625,23.801026452534416,
